First Paint time in ms
88.57
90.69
91.76
68.48
78.81
78.87
81.78
90.85
93.09
73.73
84.46
86.46
74.53
82.69
77.12
75.74
83.67
86.42
83.6
73.64
101.64
91.56
80.03
89.29
75.71
89.51
77.65
92.05
75.61
75.55
85.93
92.65
89.74
85.11
83.65
75.12
85.06
89.03
82.58
83.12
81.9
82.42
92.88
77.46
76.96
51.86
90.65
79.69
83.86
88.16
