First paint
1495
1384
1387
1391
1411
1434
1444
1380
1318
1362
1312
1424
1312
1392
1382
1432
1368
1369
1245
1386
1428
1425
1427
1312
1438
1395
1386
1286
1353
1379
1382
1278
1367
1282
1292
1290
1419
1455
1401
1279
1427
1456
1469
1387
1257
1286
1390
1401
1388
1330
