First paint
349.9
383.4
453.7
403.1
339.2
409.8
393.3
376.1
411.4
330.3
398.1
375.9
416.7
374.3
392.1
350.1
460
365.9
358.2
361.2
398.2
382.2
380
357.6
427.1
361.5
418.8
391.6
347.5
355
383
404.1
457.9
361.4
373.6
372.4
327
364.4
362.4
402.1
349
369.5
368.8
333.9
332.7
376.6
387.2
365.5
350.3
