First paint
1126.5
1230.3
1042.9
921.5
881.5
888.4
963.6
964.2
1056.1
979.6
901.6
1208.8
903.1
843.5
1018.9
1022.9
830.6
1304
911.2
839.2
947.4
1003.3
1077.3
1159.9
1018.4
1282.5
1268.8
1322.2
1033.8
814
961.7
968.7
860.2
821.1
1008.5
897
881
908.5
859.3
992.9
1029
1258.2
1039.8
1147.4
1014.7
819.7
1079.4
954.8
1401.5
1216
