First paint
612.4
595.9
542.8
539.7
542.3
522.8
611.2
523.5
599.9
551.2
582.5
605.7
570.4
539.2
679.9
559.8
601.9
592
547.6
575.9
583.9
617
627.8
593.7
576.7
551.8
531.1
533.5
545.4
562
610.8
564.5
638
603.5
601.8
574.6
576
611.5
608.9
562.9
577.1
578.5
600.9
615.4
535.6
555.8
579.6
545
590.8
554.1
