First paint
459.8
363.3
391.4
350
374.1
373.5
424.3
324.4
369.7
332.7
342.6
368.2
331.6
343.8
369.4
393.9
376.2
326.6
312.1
411.4
399
354.1
343.1
318.3
341.5
332.6
328.3
325.3
399
348.4
344.7
316.2
331.1
368.4
345.7
374.1
405.5
396.9
347.3
321.5
379.4
352.7
340.2
397.3
395.4
350.2
305.1
360
348.2
